course_code,title,instructor,meeting_times,prerequisites,department,description,source,text
ANTH1940,Ethnographic Research Methods,R. Carter,Th 4-6:30p,,Anthropology,To understand the different theoretical assumptions that shape research efforts; to examine how hypotheses and research questions are formulated; and to appreciate the ethical and scientific dimensions of research by hands-on experience in fieldwork projects. Prerequisite: One Anthropology course.,CAB,Ethnographic Research Methods To understand the different theoretical assumptions that shape research efforts; to examine how hypotheses and research questions are formulated; and to appreciate the ethical and scientific dimensions of research by hands-on experience in fieldwork projects. Prerequisite: One Anthropology course. Anthropology
ANTH1960,Anthropology of Infrastructure: Comparative Ethnographic Perspectives,D. Smith,Th 4-6:30p,,Anthropology,"Basic infrastructure – e.g., electricity grids, water supply systems, transportation networks, telecommunications, and pipelines – is commonly seen as a foundational requirement for and visible manifestation of modern human life. Yet inequalities in infrastructure are both causes and consequences of the profound disparities that characterize the contemporary world. This course aims at deciphering the complex interaction between infrastructure, society, politics, and human experience. Taking a comparative ethnographic approach, students will ask whether technology has produced a better world, and for whom. From economics and governance to ethics and sociality, students will explore humans’ relationship to infrastructure.",CAB,"Anthropology of Infrastructure: Comparative Ethnographic Perspectives Basic infrastructure – e.g., electricity grids, water supply systems, transportation networks, telecommunications, and pipelines – is commonly seen as a foundational requirement for and visible manifestation of modern human life. Yet inequalities in infrastructure are both causes and consequences of the profound disparities that characterize the contemporary world. This course aims at deciphering the complex interaction between infrastructure, society, politics, and human experience. Taking a comparative ethnographic approach, students will ask whether technology has produced a better world, and for whom. From economics and governance to ethics and sociality, students will explore humans’ relationship to infrastructure. Anthropology"
ANTH1970,Individual Research Project,K. Mason,TBA,,Anthropology,Section numbers vary by instructor. Please check Banner for the correct section number and CRN to use when registering for this course.,CAB,Individual Research Project Section numbers vary by instructor. Please check Banner for the correct section number and CRN to use when registering for this course. Anthropology
ANTH1977D,"Settler Colonial Cities: Indigenous Histories, Presents, and Futures (HMAN 1977D)",See details,,,Anthropology,Interested students must register for HMAN 1977D .,CAB,"Settler Colonial Cities: Indigenous Histories, Presents, and Futures (HMAN 1977D) Interested students must register for HMAN 1977D . Anthropology"
ANTH1990,Senior Seminar: (Re)Making Anthropology,D. Smith,TTh 10:30-11:50a,,Anthropology,"This Senior Seminar capstone course is a critical look at the past, present, future of anthropology. The class proceeds from the premise that we must know the history of our field in order to build a stronger discipline. It examines the contributions and missteps of past anthropologists. Among the key questions to address: What are the discipline’s aims and contributions in the 21st century? Has the field successfully integrated diverse voices and perspectives? Are their central theories and methods that have (and continue to) define the field? What does it mean to be an anthropologist?",CAB,"Senior Seminar: (Re)Making Anthropology This Senior Seminar capstone course is a critical look at the past, present, future of anthropology. The class proceeds from the premise that we must know the history of our field in order to build a stronger discipline. It examines the contributions and missteps of past anthropologists. Among the key questions to address: What are the discipline’s aims and contributions in the 21st century? Has the field successfully integrated diverse voices and perspectives? Are their central theories and methods that have (and continue to) define the field? What does it mean to be an anthropologist? Anthropology"
ANTH2020,Methods of Anthropological Research,N. Al-Ali,Th 4-6:30p,,Anthropology,A seminar on the methodological problems associated with field research in social and cultural anthropology. Designed to help students prepare for both summer and dissertation research.,CAB,Methods of Anthropological Research A seminar on the methodological problems associated with field research in social and cultural anthropology. Designed to help students prepare for both summer and dissertation research. Anthropology
ANTH2060,Anthropology Dissertators' Seminar,J. Leinaweaver,W 9-11:30a,,Anthropology,"This seminar is for post-field graduate students in residence at Brown who are at any stage of writing their dissertations. It is intended to support dissertators by providing a structured community, providing a setting for sharing goals, and workshopping writing.",CAB,"Anthropology Dissertators' Seminar This seminar is for post-field graduate students in residence at Brown who are at any stage of writing their dissertations. It is intended to support dissertators by providing a structured community, providing a setting for sharing goals, and workshopping writing. Anthropology"
ANTH2140,Ethnographic Encounters with the Environment,M. Lennon,M 3-5:30p,,Anthropology,"Environmental anthropology is rooted in a classic dialectical conundrum: in order to trouble the specious line between nature and culture, you need to take that line seriously. Ethnography is a powerful medium for navigating this conundrum; ethnographic monographs render nature as a legible category that emerges through humans' everyday lives, political systems, and cultural infrastructures. Ethnographic monographs position the environment as a conceptual genre for understanding nature/culture &quot;intra-actions.&quot; We will examine the writing conventions, theoretical paradigms, and qualitative data of full-length ethnographies on environmental conservation, forests, flooding, human/animal relations, energy, extractivism, soil, and waste, considering these texts as media for negotiating the nature/culture divide. This course will focus both on foundational monographs in environmental anthropology and recent monographs published over the last decade. the course will illuminate how the ethnographic genre of the environment took form and has evolved.",CAB,"Ethnographic Encounters with the Environment Environmental anthropology is rooted in a classic dialectical conundrum: in order to trouble the specious line between nature and culture, you need to take that line seriously. Ethnography is a powerful medium for navigating this conundrum; ethnographic monographs render nature as a legible category that emerges through humans' everyday lives, political systems, and cultural infrastructures. Ethnographic monographs position the environment as a conceptual genre for understanding nature/culture &quot;intra-actions.&quot; We will examine the writing conventions, theoretical paradigms, and qualitative data of full-length ethnographies on environmental conservation, forests, flooding, human/animal relations, energy, extractivism, soil, and waste, considering these texts as media for negotiating the nature/culture divide. This course will focus both on foundational monographs in environmental anthropology and recent monographs published over the last decade. the course will illuminate how the ethnographic genre of the environment took form and has evolved. Anthropology"
ANTH2230,Medical Anthropology,K. Fernandes,Th 1:30-3:50p,,Anthropology,"This graduate seminar provides a theoretical, methodological, and ethnographic foundation in medical anthropology. The focus will be on sociocultural approaches to the study of the suffering, illness and the body, though the course will also engage with key issues in biocultural approaches to understanding disease processes. Topics will include: social suffering, religion and medicine, local biologies, gender and the body, biotechnology, bioethics, caregiving and doctoring, and the global burden of disease.",CAB,"Medical Anthropology This graduate seminar provides a theoretical, methodological, and ethnographic foundation in medical anthropology. The focus will be on sociocultural approaches to the study of the suffering, illness and the body, though the course will also engage with key issues in biocultural approaches to understanding disease processes. Topics will include: social suffering, religion and medicine, local biologies, gender and the body, biotechnology, bioethics, caregiving and doctoring, and the global burden of disease. Anthropology"
ANTH2520,Mesoamerican Archaeology and Ethnohistory,S. Houston,F 3-5:30p,,Anthropology,"Seminar focusing on current issues in the archaeology and history of Mesoamerica, including Mexico and Northern Central America. Draws on rich resources at Brown, including the John Carter Brown Library.",CAB,"Mesoamerican Archaeology and Ethnohistory Seminar focusing on current issues in the archaeology and history of Mesoamerica, including Mexico and Northern Central America. Draws on rich resources at Brown, including the John Carter Brown Library. Anthropology"
ANTH2800,Linguistic Theory and Practice,J. Babcock,W 3-5:30p,,Anthropology,"An introduction to theoretical and methodological issues in the study of language and social life. We begin by examining semiotic approaches to language. We turn to classical research on language as a structured system - covering such topics as phonology and grammatical categories - but we focus on the implications of such work for broader social scientific and humanistic research. We then consider areas of active contemporary research, including cognition and linguistic relativity, meaning and semantics, pronouns and deixis, deference and register, speech acts and performativity, interaction, verbal art and poetics, reported speech, performance, and linguistic ideology.",CAB,"Linguistic Theory and Practice An introduction to theoretical and methodological issues in the study of language and social life. We begin by examining semiotic approaches to language. We turn to classical research on language as a structured system - covering such topics as phonology and grammatical categories - but we focus on the implications of such work for broader social scientific and humanistic research. We then consider areas of active contemporary research, including cognition and linguistic relativity, meaning and semantics, pronouns and deixis, deference and register, speech acts and performativity, interaction, verbal art and poetics, reported speech, performance, and linguistic ideology. Anthropology"
ANTH2970,Preliminary Examination Preparation,TBD,TBA,,Anthropology,For graduate students who have met the tuition requirement and are paying the registration fee to continue active enrollment while preparing for a preliminary examination.,CAB,Preliminary Examination Preparation For graduate students who have met the tuition requirement and are paying the registration fee to continue active enrollment while preparing for a preliminary examination. Anthropology
ANTH2980,Reading and Research,J. Babcock,TBA,,Anthropology,Section numbers vary by instructor. Please check Banner for the correct section number and CRN to use when registering for this course.,CAB,Reading and Research Section numbers vary by instructor. Please check Banner for the correct section number and CRN to use when registering for this course. Anthropology
ANTH2990,Thesis Preparation,TBD,TBA,,Anthropology,For graduate students who have met the residency requirement and are continuing research on a full time basis.,CAB,Thesis Preparation For graduate students who have met the residency requirement and are continuing research on a full time basis. Anthropology
APMA0160,Introduction to Scientific Computing,,,MATH 0100 or equivalent.,Applied Mathematics,"For students in any discipline that may involve numerical computations. Includes instruction for programming in MATLAB. Applications discussed include solution of linear equations (with vectors and matrices) and nonlinear equations (by bisection, iteration, and Newton's method), interpolation, and curve-fitting, difference equations, iterated maps, numerical differentiation and integration, and differential equations. Prerequisites: MATH 0100 or equivalent.",BULLETIN,"Introduction to Scientific Computing For students in any discipline that may involve numerical computations. Includes instruction for programming in MATLAB. Applications discussed include solution of linear equations (with vectors and matrices) and nonlinear equations (by bisection, iteration, and Newton's method), interpolation, and curve-fitting, difference equations, iterated maps, numerical differentiation and integration, and differential equations. Prerequisites: MATH 0100 or equivalent. Applied Mathematics"
APMA0200,Introduction to Modeling,J. Darbon,MWF 1-1:50p,MATH 0100 or equivalent.,Applied Mathematics,"This course provides an introduction to the mathematical modeling of selected biological, chemical, engineering, and physical processes, and the use of computational tools that facilitate the modeling. The goal is to illustrate the typical way in which applied mathematicians approach practical applications: understanding the underlying problem, creating a model, analyzing the model using mathematical techniques, and interpreting the findings in terms of the original problem. Single-variable calculus is the only requirement; techniques from differential equations, linear algebra, numerical methods, probability, statistics, and MATLAB programming will be introduced in class. Prerequisites: MATH 0100 or equivalent.",CAB,"Introduction to Modeling This course provides an introduction to the mathematical modeling of selected biological, chemical, engineering, and physical processes, and the use of computational tools that facilitate the modeling. The goal is to illustrate the typical way in which applied mathematicians approach practical applications: understanding the underlying problem, creating a model, analyzing the model using mathematical techniques, and interpreting the findings in terms of the original problem. Single-variable calculus is the only requirement; techniques from differential equations, linear algebra, numerical methods, probability, statistics, and MATLAB programming will be introduced in class. Prerequisites: MATH 0100 or equivalent. Applied Mathematics"
APMA0260,Linear Algebra and Multivariable Calculus for Applied Mathematicians,A. Culiuc,MWF 2-2:50p,,Applied Mathematics,This one-semester course provides an integrated introduction to multi-variable calculus and linear algebra. Students will develop a strong foundation in mathematical concepts and techniques essential for the applied mathematics concentration. Prerequisites: MATH 0100 or equivalent.,CAB,Linear Algebra and Multivariable Calculus for Applied Mathematicians This one-semester course provides an integrated introduction to multi-variable calculus and linear algebra. Students will develop a strong foundation in mathematical concepts and techniques essential for the applied mathematics concentration. Prerequisites: MATH 0100 or equivalent. Applied Mathematics
APMA0330,Methods of Applied Mathematics I,,,MATH 0100 or equivalent.,Applied Mathematics,"This course will cover mathematical techniques involving ordinary differential equations used in the analysis of physical, biological, and economic phenomena. The course emphasizes the use of established methods in applications rather than rigorous foundation. Topics include: first and second order differential equations, an introduction to numerical methods, series solutions, and Laplace transformations. Prerequisites: MATH 0100 or equivalent.",BULLETIN,"Methods of Applied Mathematics I This course will cover mathematical techniques involving ordinary differential equations used in the analysis of physical, biological, and economic phenomena. The course emphasizes the use of established methods in applications rather than rigorous foundation. Topics include: first and second order differential equations, an introduction to numerical methods, series solutions, and Laplace transformations. Prerequisites: MATH 0100 or equivalent. Applied Mathematics"
APMA0340,Methods of Applied Mathematics II,,,APMA 0330 or equivalent.,Applied Mathematics,"This course will cover mathematical techniques involving ordinary and partial differential equations and statistics used in the analysis of physical, biological, and economic phenomena. The course emphasizes the use of established methods rather than rigorous foundations. Topics include: applications of linear algebra to systems of equations; numerical methods; nonlinear problems and stability; introduction to partial differential equations; introduction to statistics. Prerequisites: APMA 0330 or equivalent.",BULLETIN,"Methods of Applied Mathematics II This course will cover mathematical techniques involving ordinary and partial differential equations and statistics used in the analysis of physical, biological, and economic phenomena. The course emphasizes the use of established methods rather than rigorous foundations. Topics include: applications of linear algebra to systems of equations; numerical methods; nonlinear problems and stability; introduction to partial differential equations; introduction to statistics. Prerequisites: APMA 0330 or equivalent. Applied Mathematics"
APMA0350,Applied Ordinary Differential Equations,P. Tabrizian,MWF 12-12:50p,"MATH 0100 or equivalent; knowledge of matrix-vector operations, determinants, and linear systems",Applied Mathematics,"This course provides a comprehensive introduction to ordinary differential equations and their applications. During the course, we will see how applied mathematicians use ordinary differential equations to solve practical applications, from understanding the underlying problem, creating a differential-equations model, solving it using analytical, numerical, or qualitative methods, and interpreting the findings in terms of the original problem. This course is geared towards methods for solving ordinary differential equations rather than the underlying theoretical foundations. Prerequisites: MATH 0100 or equivalent; knowledge of matrix-vector operations, determinants, and linear systems. Linear algebra is strongly recommended as a prerequisite or corequisite.",CAB,"Applied Ordinary Differential Equations This course provides a comprehensive introduction to ordinary differential equations and their applications. During the course, we will see how applied mathematicians use ordinary differential equations to solve practical applications, from understanding the underlying problem, creating a differential-equations model, solving it using analytical, numerical, or qualitative methods, and interpreting the findings in terms of the original problem. This course is geared towards methods for solving ordinary differential equations rather than the underlying theoretical foundations. Prerequisites: MATH 0100 or equivalent; knowledge of matrix-vector operations, determinants, and linear systems. Linear algebra is strongly recommended as a prerequisite or corequisite. Applied Mathematics"
APMA0355,Applied Ordinary Differential Equations with Theory,K. Mallory,MWF 12-12:50p,Multivariable calculus; Linear algebra.,Applied Mathematics,"This course provides a comprehensive introduction to ordinary differential equations, their applications, and their theoretical underpinnings. During the course, we will see how applied mathematicians use ordinary differential equations to solve practical applications, from understanding the underlying problem, creating a differential-equations model, solving it using analytical, numerical, or qualitative methods, and interpreting the findings in terms of the original problem. We will also learn about the underlying rigorous theoretical foundations of differential equations and the mathematical formalism used to establish this theory. Prerequisites: Multivariable calculus; Linear algebra.",CAB,"Applied Ordinary Differential Equations with Theory This course provides a comprehensive introduction to ordinary differential equations, their applications, and their theoretical underpinnings. During the course, we will see how applied mathematicians use ordinary differential equations to solve practical applications, from understanding the underlying problem, creating a differential-equations model, solving it using analytical, numerical, or qualitative methods, and interpreting the findings in terms of the original problem. We will also learn about the underlying rigorous theoretical foundations of differential equations and the mathematical formalism used to establish this theory. Prerequisites: Multivariable calculus; Linear algebra. Applied Mathematics"
APMA0360,Applied Partial Differential Equations I,R. Creedon,MWF 12-12:50p,Multivariable calculus; APMA 0350 or equivalent.,Applied Mathematics,"This course provides an introduction to partial differential equations and their applications, with an emphasis on techniques for solving PDEs rather than theory. We will learn how to use partial differential equations to solve problems that arise in practical applications by formulating questions about a real-world problem, creating a partial differential equation model that can help answer these questions, solving the resulting system using analytical, numerical, and qualitative methods, and interpreting the results in terms of the original application. Topics include the four fundamental PDEs (transport, wave, heat, and Laplace equations), solution techniques (Fourier transform, energy methods, separation of variables, maximum principles), and example applications. Prerequisites: Multivariable calculus; APMA 0350 or equivalent.",CAB,"Applied Partial Differential Equations I This course provides an introduction to partial differential equations and their applications, with an emphasis on techniques for solving PDEs rather than theory. We will learn how to use partial differential equations to solve problems that arise in practical applications by formulating questions about a real-world problem, creating a partial differential equation model that can help answer these questions, solving the resulting system using analytical, numerical, and qualitative methods, and interpreting the results in terms of the original application. Topics include the four fundamental PDEs (transport, wave, heat, and Laplace equations), solution techniques (Fourier transform, energy methods, separation of variables, maximum principles), and example applications. Prerequisites: Multivariable calculus; APMA 0350 or equivalent. Applied Mathematics"
APMA0365,Applied Partial Differential Equations I with Theory,B. Sandstede,MWF 10-10:50a,,Applied Mathematics,"This course provides a rigorous introduction to partial differential equations and their applications. Emphasis will be placed on the theoretical foundations of partial differential equations and the mathematical formalism used to establish this theory. We will learn how to use partial differential equations to solve problems that arise in practical applications by formulating questions about a real-world problem, creating a partial differential equation model that can help answer these questions, solving the resulting system using analytical, numerical, and qualitative methods, and interpreting the results in terms of the original application. Topics include the four fundamental PDEs (transport, wave, heat, and Laplace equations), solution techniques (Fourier transform, energy methods, separation of variables, maximum principles), and example applications. Prerequisites: Multivariable calculus; Linear algebra; APMA 0355 or equivalent.",CAB,"Applied Partial Differential Equations I with Theory This course provides a rigorous introduction to partial differential equations and their applications. Emphasis will be placed on the theoretical foundations of partial differential equations and the mathematical formalism used to establish this theory. We will learn how to use partial differential equations to solve problems that arise in practical applications by formulating questions about a real-world problem, creating a partial differential equation model that can help answer these questions, solving the resulting system using analytical, numerical, and qualitative methods, and interpreting the results in terms of the original application. Topics include the four fundamental PDEs (transport, wave, heat, and Laplace equations), solution techniques (Fourier transform, energy methods, separation of variables, maximum principles), and example applications. Prerequisites: Multivariable calculus; Linear algebra; APMA 0355 or equivalent. Applied Mathematics"
APMA0650,Introduction to Probability and Statistics,V. Khurana,TTh 1-2:20p,,Applied Mathematics,"A first course in probability and statistics without calculus. Topics include data fluency, probability spaces, discrete and continuous random variables, expected values, law of large numbers, central limit theorem, point estimation, confidence intervals, hypothesis testing, measures of association, linear regression. Examples and applications from the popular press and the life, social and physical sciences.",CAB,"Introduction to Probability and Statistics A first course in probability and statistics without calculus. Topics include data fluency, probability spaces, discrete and continuous random variables, expected values, law of large numbers, central limit theorem, point estimation, confidence intervals, hypothesis testing, measures of association, linear regression. Examples and applications from the popular press and the life, social and physical sciences. Applied Mathematics"
APMA1070,Quantitative Models of Biological Systems,E. Kharazmi,MWF 10-10:50a,Multivariable calculus; Linear algebra; APMA 0355 or equivalent.,Applied Mathematics,"Quantitative dynamic models help understand problems in biology and there has been rapid progress in recent years. This course provides an introduction to the concepts and techniques, with applications to population dynamics, infectious diseases, enzyme kinetics, and cellular biology. Additional topics covered will vary. Mathematical techniques will be discussed as they arise in the context of biological problems. Prerequisites: Multivariable calculus; Linear algebra; APMA 0355 or equivalent.",CAB,"Quantitative Models of Biological Systems Quantitative dynamic models help understand problems in biology and there has been rapid progress in recent years. This course provides an introduction to the concepts and techniques, with applications to population dynamics, infectious diseases, enzyme kinetics, and cellular biology. Additional topics covered will vary. Mathematical techniques will be discussed as they arise in the context of biological problems. Prerequisites: Multivariable calculus; Linear algebra; APMA 0355 or equivalent. Applied Mathematics"
APMA1080,Inference in Genomics and Molecular Biology,,,Multivariable calculus; Linear algebra; Computer programming; APMA 1655 or equivalent.,Applied Mathematics,"This course is an introduction to the probabilistic and statistical models that have found widespread use in genomics and molecular biology. The emphasis is on foundational models and ideas rather than practical application. Likely topics include Markov chains, hidden Markov models, directed graphical models, mixture models, linear regression, regularization, dimensionality reduction, clustering, Bayesian inference, and multiple hypothesis testing. Examples will focus on the connection to genomics and molecular biology, but all of these tools have found widespread use in a variety of disciplines. Mathematical and computational exercises will reinforce the topics presented in lecture. Prerequisites: Multivariable calculus; Linear algebra; Computer programming; APMA 1655 or equivalent.",BULLETIN,"Inference in Genomics and Molecular Biology This course is an introduction to the probabilistic and statistical models that have found widespread use in genomics and molecular biology. The emphasis is on foundational models and ideas rather than practical application. Likely topics include Markov chains, hidden Markov models, directed graphical models, mixture models, linear regression, regularization, dimensionality reduction, clustering, Bayesian inference, and multiple hypothesis testing. Examples will focus on the connection to genomics and molecular biology, but all of these tools have found widespread use in a variety of disciplines. Mathematical and computational exercises will reinforce the topics presented in lecture. Prerequisites: Multivariable calculus; Linear algebra; Computer programming; APMA 1655 or equivalent. Applied Mathematics"
APMA1160,An Introduction to Numerical Optimization,J. Darbon,MWF 9-9:50a,Multivariable calculus; Linear algebra; Computer programming,Applied Mathematics,"This course provides a thorough introduction to numerical methods and algorithms for solving non-linear continuous optimization problems. A particular attention will be given to the mathematical underpinnings to understand the theoretical properties of the optimization problems and the algorithms designed to solve them. Topics will include: line search methods, trust-region methods, nonlinear conjugate gradient methods, an introduction to constrained optimization (Karush-Kuhn-Tucker conditions, mini-maximization, saddle-points of Lagrangians). Some applications in signal and image processing will be explored. Prerequisites: Multivariable calculus; Linear algebra; Computer programming. APMA 1170 or equivalent is recommended.",CAB,"An Introduction to Numerical Optimization This course provides a thorough introduction to numerical methods and algorithms for solving non-linear continuous optimization problems. A particular attention will be given to the mathematical underpinnings to understand the theoretical properties of the optimization problems and the algorithms designed to solve them. Topics will include: line search methods, trust-region methods, nonlinear conjugate gradient methods, an introduction to constrained optimization (Karush-Kuhn-Tucker conditions, mini-maximization, saddle-points of Lagrangians). Some applications in signal and image processing will be explored. Prerequisites: Multivariable calculus; Linear algebra; Computer programming. APMA 1170 or equivalent is recommended. Applied Mathematics"
APMA1170,Introduction to Computational Linear Algebra,,,Multivariable calculus; Linear algebra,Applied Mathematics,"Focuses on fundamental algorithms in computational linear algebra with relevance to all science concentrators. Basic linear algebra and matrix decompositions (Cholesky, LU, QR, etc.), round-off errors and numerical analysis of errors and convergence. Iterative methods and conjugate gradient techniques. Computation of eigenvalues and eigenvectors, and an introduction to least squares methods. Prerequisites: Multivariable calculus; Linear algebra. Experience with a programming language is strongly recommended.",BULLETIN,"Introduction to Computational Linear Algebra Focuses on fundamental algorithms in computational linear algebra with relevance to all science concentrators. Basic linear algebra and matrix decompositions (Cholesky, LU, QR, etc.), round-off errors and numerical analysis of errors and convergence. Iterative methods and conjugate gradient techniques. Computation of eigenvalues and eigenvectors, and an introduction to least squares methods. Prerequisites: Multivariable calculus; Linear algebra. Experience with a programming language is strongly recommended. Applied Mathematics"
APMA1180,Introduction to Numerical Solution of Differential Equations,,,Multivariable calculus; Linear algebra; APMA 0355 or equivalent; APMA 0365 or equivalent.,Applied Mathematics,"Fundamental numerical techniques for solving ordinary and partial differential equations. Overview of techniques for approximation and integration of functions. Development of multi-step and multi-stage methods, error analysis, step-size control for ordinary differential equations. Solution of two-point boundary value problems, introduction to methods for solving linear partial differential equations. Students will be required to use MATLAB (or other computer languages) to implement the mathematical algorithms under consideration: experience with a programming language is therefore strongly recommended. Prerequisites: Multivariable calculus; Linear algebra; APMA 0355 or equivalent; APMA 0365 or equivalent.",BULLETIN,"Introduction to Numerical Solution of Differential Equations Fundamental numerical techniques for solving ordinary and partial differential equations. Overview of techniques for approximation and integration of functions. Development of multi-step and multi-stage methods, error analysis, step-size control for ordinary differential equations. Solution of two-point boundary value problems, introduction to methods for solving linear partial differential equations. Students will be required to use MATLAB (or other computer languages) to implement the mathematical algorithms under consideration: experience with a programming language is therefore strongly recommended. Prerequisites: Multivariable calculus; Linear algebra; APMA 0355 or equivalent; APMA 0365 or equivalent. Applied Mathematics"
APMA1200,Operations Research: Probabilistic Models,V. Semenov,TTh 10:30-11:50a,Multivariable calculus; Linear algebra; APMA 1655 (or equivalent).,Applied Mathematics,"APMA 1200 serves as an introduction to stochastic processes and stochastic optimization. After a review of basic probability theory, including conditional probability and conditional expectations, topics covered will include discrete-time Markov chains, exponential distributions, Poisson processes and continuous-time Markov chains, elementary queueing theory, martingales, Markov decision processes and dynamic programming. If time permits topics selected from filtering of hidden Markov chains, renewal processes, and Brownian motion could be included. Prerequisites: Multivariable calculus; Linear algebra; APMA 1655 (or equivalent).",CAB,"Operations Research: Probabilistic Models APMA 1200 serves as an introduction to stochastic processes and stochastic optimization. After a review of basic probability theory, including conditional probability and conditional expectations, topics covered will include discrete-time Markov chains, exponential distributions, Poisson processes and continuous-time Markov chains, elementary queueing theory, martingales, Markov decision processes and dynamic programming. If time permits topics selected from filtering of hidden Markov chains, renewal processes, and Brownian motion could be included. Prerequisites: Multivariable calculus; Linear algebra; APMA 1655 (or equivalent). Applied Mathematics"
APMA1210,Operations Research: Deterministic Models,,,Multivariable calculus; Linear algebra; Computer programming.,Applied Mathematics,"An introduction to the basic mathematical ideas and computational methods of optimizing allocation of effort or resources, with or without constraints. Linear programming, network models, dynamic programming, and integer programming. Prerequisites: Multivariable calculus; Linear algebra; Computer programming.",BULLETIN,"Operations Research: Deterministic Models An introduction to the basic mathematical ideas and computational methods of optimizing allocation of effort or resources, with or without constraints. Linear programming, network models, dynamic programming, and integer programming. Prerequisites: Multivariable calculus; Linear algebra; Computer programming. Applied Mathematics"
APMA1330,Applied Partial Differential Equations II,,,Multivariable calculus; Linear algebra; APMA 0365 or equivalent.,Applied Mathematics,"Review of vector calculus and curvilinear coordinates. Partial differential equations. Heat conduction and diffusion equations, the wave equation, Laplace and Poisson equations. Separation of variables, special functions, Fourier series and power series solution of differential equations. Sturm-Liouville problem and eigenfunction expansions. Prerequisites: Multivariable calculus; Linear algebra; APMA 0365 or equivalent.",BULLETIN,"Applied Partial Differential Equations II Review of vector calculus and curvilinear coordinates. Partial differential equations. Heat conduction and diffusion equations, the wave equation, Laplace and Poisson equations. Separation of variables, special functions, Fourier series and power series solution of differential equations. Sturm-Liouville problem and eigenfunction expansions. Prerequisites: Multivariable calculus; Linear algebra; APMA 0365 or equivalent. Applied Mathematics"
APMA1360,Applied Dynamical Systems,K. Mallory,MWF 9-9:50a,Multivariable calculus; Linear algebra; APMA 0355 or equivalent.,Applied Mathematics,"This course gives an overview of the theory and applications of dynamical systems modeled by differential equations and maps. We will discuss changes of the dynamics when parameters are varied, investigate periodic and homoclinic solutions that arise in applications, and study the impact of additional structures such as time reversibility and conserved quantities on the dynamics. We will also study systems with complicated ""chaotic"" dynamics that possess attracting sets which do not have an integer dimension. Applications to chemical reactions, climate, epidemiology, and phase transitions will be discussed. Prerequisites: Multivariable calculus; Linear algebra; APMA 0355 or equivalent.",CAB,"Applied Dynamical Systems This course gives an overview of the theory and applications of dynamical systems modeled by differential equations and maps. We will discuss changes of the dynamics when parameters are varied, investigate periodic and homoclinic solutions that arise in applications, and study the impact of additional structures such as time reversibility and conserved quantities on the dynamics. We will also study systems with complicated ""chaotic"" dynamics that possess attracting sets which do not have an integer dimension. Applications to chemical reactions, climate, epidemiology, and phase transitions will be discussed. Prerequisites: Multivariable calculus; Linear algebra; APMA 0355 or equivalent. Applied Mathematics"
APMA1650,Introduction to Probability and Statistics with Calculus,A. Culiuc,MWF 11-11:50a,,Applied Mathematics,"A first course in calculus-based probability and statistics. Topics include data fluency, probability spaces, discrete and continuous random variables, expected values, law of large numbers, central limit theorem, point estimation, confidence intervals, hypothesis testing, measures of association, linear regression. Examples and applications from the popular press and the life, social and physical sciences. Prerequisites: MATH 0100 or equivalent.",CAB,"Introduction to Probability and Statistics with Calculus A first course in calculus-based probability and statistics. Topics include data fluency, probability spaces, discrete and continuous random variables, expected values, law of large numbers, central limit theorem, point estimation, confidence intervals, hypothesis testing, measures of association, linear regression. Examples and applications from the popular press and the life, social and physical sciences. Prerequisites: MATH 0100 or equivalent. Applied Mathematics"
APMA1655,Introduction to Probability and Statistics with Theory,H. Wang,MWF 2-2:50p,Multivariable calculus; Linear algebra.,Applied Mathematics,"A first course in calculus-based probability and statistics. Topics include data fluency, probability spaces, discrete and continuous random variables, expected values, law of large numbers, central limit theorem, point estimation, confidence intervals, hypothesis testing, measures of association, linear regression, and example applications. This course introduces students to the mathematical theory and formalism needed for upper-level undergraduate courses in probability and statistics. Prerequisites: Multivariable calculus; Linear algebra.",CAB,"Introduction to Probability and Statistics with Theory A first course in calculus-based probability and statistics. Topics include data fluency, probability spaces, discrete and continuous random variables, expected values, law of large numbers, central limit theorem, point estimation, confidence intervals, hypothesis testing, measures of association, linear regression, and example applications. This course introduces students to the mathematical theory and formalism needed for upper-level undergraduate courses in probability and statistics. Prerequisites: Multivariable calculus; Linear algebra. Applied Mathematics"
APMA1660,Statistical Inference II,A. Vander Werf,MWF 11-11:50a,Multivariable calculus; Linear algebra; APMA 1655 or equivalent.,Applied Mathematics,"APMA 1660 is designed as a sequel to APMA 1655 to form one of the alternative tracks for an integrated year's course in mathematical statistics. The main topic is linear models in statistics. Specific topics include likelihood-ratio tests, nonparametric tests, introduction to statistical computing, matrix approach to simple-linear and multiple regression, analysis of variance, and design of experiments. Prerequisites: Multivariable calculus; Linear algebra; APMA 1655 or equivalent.",CAB,"Statistical Inference II APMA 1660 is designed as a sequel to APMA 1655 to form one of the alternative tracks for an integrated year's course in mathematical statistics. The main topic is linear models in statistics. Specific topics include likelihood-ratio tests, nonparametric tests, introduction to statistical computing, matrix approach to simple-linear and multiple regression, analysis of variance, and design of experiments. Prerequisites: Multivariable calculus; Linear algebra; APMA 1655 or equivalent. Applied Mathematics"
